111: neval=583{'avg': -274747.18601934786, 'max': 142890.90494201772, 'min': -276033.6528464273} best=-276033.6528464273
112: neval=589{'avg': -274690.67154362914, 'max': 64788.931021771234, 'min': -276033.6528464273} best=-276033.6528464273
113: neval=597{'avg': -274846.3962310291, 'max': 39039.45154566005, 'min': -276033.6528464273} best=-276033.6528464273
114: neval=600{'avg': -274484.22165467293, 'max': -26202.406050302438, 'min': -276033.6528464273} best=-276033.6528464273
115: neval=595{'avg': -274402.8060241236, 'max': 28553.37754724527, 'min': -276033.6528464273} best=-276033.6528464273
116: neval=622{'avg': -274665.97325806087, 'max': 78285.35865039335, 'min': -276033.6528464273} best=-276033.6528464273
117: neval=621{'avg': -274836.35848703474, 'max': -114354.32449172012, 'min': -276033.6528464273} best=-276033.6528464273
118: neval=578{'avg': -274034.0423565516, 'max': 50318.2077820791, 'min': -276033.6528464273} best=-276033.6528464273
119: neval=595{'avg': -275097.0019786545, 'max': -32130.22994110944, 'min': -276033.6528464273} best=-276033.6528464273
120: neval=607{'avg': -274408.7095158024, 'max': 64115.38150167975, 'min': -276033.6528464273} best=-276033.6528464273
121: neval=580{'avg': -274621.9935048608, 'max': -68650.3197801405, 'min': -276033.6528464273} best=-276033.6528464273
122: neval=594{'avg': -273984.4701526929, 'max': 8001.530796630534, 'min': -276033.6528464273} best=-276033.6528464273
123: neval=609{'avg': -274497.7711881297, 'max': 45753.562636654475, 'min': -276033.6528464273} best=-276033.6528464273
124: neval=609{'avg': -273824.04750932945, 'max': 67415.28108270947, 'min': -276033.6528464273} best=-276033.6528464273
125: neval=587{'avg': -275010.1402282655, 'max': -128114.10468077923, 'min': -276033.6528464273} best=-276033.6528464273
126: neval=601{'avg': -274664.67915141565, 'max': 17310.25404921434, 'min': -276033.6528464273} best=-276033.6528464273
127: neval=572{'avg': -273823.22805228777, 'max': 15376.740251794217, 'min': -276033.6528464273} best=-276033.6528464273
128: neval=607{'avg': -273881.2838659325, 'max': -20661.243154564647, 'min': -276033.6528464273} best=-276033.6528464273
129: neval=584{'avg': -274765.9051747464, 'max': -156744.23973539364, 'min': -276033.6528464273} best=-276033.6528464273
130: neval=595{'avg': -274662.03380924556, 'max': -65955.50893513625, 'min': -276033.6528464273} best=-276033.6528464273
131: neval=601{'avg': -274629.8283999754, 'max': -11902.5976817281, 'min': -276033.6528464273} best=-276033.6528464273
132: neval=609{'avg': -275445.0285997237, 'max': -109913.61193865292, 'min': -276033.6528464273} best=-276033.6528464273
133: neval=589{'avg': -274655.9183993438, 'max': 77670.95918000625, 'min': -276033.6528464273} best=-276033.6528464273
134: neval=608{'avg': -275827.3555494223, 'max': -169326.6084597925, 'min': -276033.6528464273} best=-276033.6528464273
135: neval=603{'avg': -274190.93830390193, 'max': 9677.379941888674, 'min': -276033.6528464273} best=-276033.6528464273
136: neval=577{'avg': -274281.22922865325, 'max': -12074.663731651832, 'min': -276033.6528464273} best=-276033.6528464273
137: neval=588{'avg': -273576.830709946, 'max': 120625.0991897423, 'min': -276033.6528464273} best=-276033.6528464273
138: neval=584{'avg': -274417.8888732295, 'max': 95727.43784793396, 'min': -276033.6528464273} best=-276033.6528464273
139: neval=599{'avg': -274839.9777338032, 'max': 95329.45432506865, 'min': -276033.6528464273} best=-276033.6528464273
140: neval=585{'avg': -275174.3314080413, 'max': -49371.29500827371, 'min': -276033.6528464273} best=-276033.6528464273
141: neval=598{'avg': -275705.756045381, 'max': -30111.05206180441, 'min': -276033.6528464273} best=-276033.6528464273
142: neval=587{'avg': -274555.55256348953, 'max': 54913.40237646051, 'min': -276033.6528464273} best=-276033.6528464273
143: neval=613{'avg': -274825.3118673407, 'max': -65433.743274584784, 'min': -276033.6528464273} best=-276033.6528464273
144: neval=578{'avg': -275237.72650049196, 'max': 35429.082700110564, 'min': -276033.6528464273} best=-276033.6528464273
145: neval=615{'avg': -274559.7031095135, 'max': -51693.703656059624, 'min': -276033.6528464273} best=-276033.6528464273
146: neval=594{'avg': -274714.50964958774, 'max': 10915.158891896412, 'min': -276033.6528464273} best=-276033.6528464273
147: neval=602{'avg': -275348.33142293955, 'max': -37145.161212772204, 'min': -276033.6528464273} best=-276033.6528464273
148: neval=580{'avg': -274510.8099925377, 'max': 28691.671844780558, 'min': -276033.6528464273} best=-276033.6528464273
149: neval=566{'avg': -274945.8601436713, 'max': 71008.99075555766, 'min': -276033.6528464273} best=-276033.6528464273
150: neval=563{'avg': -275076.54654644313, 'max': 102348.07163171518, 'min': -276033.6528464273} best=-276033.6528464273
151: neval=610{'avg': -274247.8946003279, 'max': 93062.82156662417, 'min': -276033.6528464273} best=-276033.6528464273
152: neval=568{'avg': -275665.71096505, 'max': -130919.16471850926, 'min': -276033.6528464273} best=-276033.6528464273
153: neval=562{'avg': -275793.1389153478, 'max': -171878.2093948833, 'min': -276033.6528464273} best=-276033.6528464273
154: neval=586{'avg': -275494.4963910581, 'max': -27589.013600162758, 'min': -276033.6528464273} best=-276033.6528464273
155: neval=589{'avg': -275704.7435846113, 'max': -182800.7362086216, 'min': -276033.6528464273} best=-276033.6528464273
156: neval=554{'avg': -275104.42575114203, 'max': 71906.94214311933, 'min': -276033.6528464273} best=-276033.6528464273
157: neval=579{'avg': -274981.71400105517, 'max': -72782.11597814411, 'min': -276033.6528464273} best=-276033.6528464273
158: neval=592{'avg': -274604.95170437277, 'max': 45583.97232100442, 'min': -276033.6528464273} best=-276033.6528464273
159: neval=602{'avg': -274776.56837436237, 'max': 71534.11367778332, 'min': -276033.6528464273} best=-276033.6528464273
160: neval=601{'avg': -274742.51771331305, 'max': -84807.41540055825, 'min': -276201.8605207682} best=-276201.8605207682
161: neval=561{'avg': -275169.35362701357, 'max': -374.7254726567371, 'min': -284886.6479360364} best=-284886.6479360364
